activity_archetypes	sop_code	f	sops	code	f	a	activity_archetypes_sop_code_fkey
ad_sets	ad_account_id	f	ad_accounts	id	f	a	ad_sets_ad_account_id_fkey
ad_sets	campaign_id	f	campaigns	id	f	a	ad_sets_campaign_id_fkey
ads	ad_account_id	f	ad_accounts	id	f	a	ads_ad_account_id_fkey
ads	ad_set_id	f	ad_sets	id	f	a	ads_ad_set_id_fkey
ads	campaign_id	f	campaigns	id	f	a	ads_campaign_id_fkey
archetype_acceptance_criteria	output_id	f	archetype_outputs	id	f	c	archetype_acceptance_criteria_output_id_fkey
archetype_inputs	archetype_id	f	activity_archetypes	id	f	c	archetype_inputs_archetype_id_fkey
archetype_inputs	artifact_type_id	f	artifact_types	id	f	a	archetype_inputs_artifact_type_id_fkey
archetype_inputs	io_type_id	f	io_types	id	f	a	archetype_inputs_io_type_id_fkey
archetype_outputs	archetype_id	f	activity_archetypes	id	f	c	archetype_outputs_archetype_id_fkey
archetype_outputs	artifact_type_id	f	artifact_types	id	f	a	archetype_outputs_artifact_type_id_fkey
archetype_outputs	io_type_id	f	io_types	id	f	a	archetype_outputs_io_type_id_fkey
archetype_params	archetype_id	f	activity_archetypes	id	f	c	archetype_params_archetype_id_fkey
call_meeting_results	meeting_id	t	meetings	id	t	c	call_meeting_results_meeting_id_fkey
campaign_insights_daily	ad_account_id	f	ad_accounts	id	f	a	campaign_insights_daily_ad_account_id_fkey
campaigns	ad_account_id	f	ad_accounts	id	f	a	campaigns_ad_account_id_fkey
commission_payouts	commission_rule_id	f	commission_rules	id	f	n	commission_payouts_commission_rule_id_fkey
commission_payouts	installment_id	t	installments	installment_id	f	a	commission_payouts_installment_id_fkey
commission_payouts	plan_id	t	payment_plans	plan_id	f	a	commission_payouts_plan_id_fkey
commission_payouts	project_id	t	projects	id	f	a	commission_payouts_project_id_fkey
commission_payouts	reviewed_by	f	users	id	f	a	commission_payouts_reviewed_by_fkey
commission_payouts	role_id	f	team_roles	id	f	a	commission_payouts_role_id_fkey
commission_payouts	user_id	f	users	id	f	a	commission_payouts_user_id_fkey
commission_rules	product_id	f	products	id	f	a	commission_rules_product_id_fkey
commission_rules	project_id	t	projects	id	f	c	commission_rules_project_id_fkey
commission_rules	role_id	f	team_roles	id	f	a	commission_rules_role_id_fkey
commission_rules	user_id	f	users	id	f	a	commission_rules_user_id_fkey
crm_calendars	project_id	t	projects	id	f	c	crm_calendars_project_id_fkey
crm_contacts	project_id	t	projects	id	f	c	crm_contacts_project_id_fkey
crm_contacts	user_id	f	users	id	f	n	crm_contacts_user_id_fkey
crm_custom_fields	project_id	t	projects	id	f	c	crm_custom_fields_project_id_fkey
crm_opportunities	contact_id	f	crm_contacts	id	f	n	crm_opportunities_contact_id_fkey
crm_opportunities	pipeline_id	t	crm_pipelines	id	f	c	crm_opportunities_pipeline_id_fkey
crm_opportunities	project_id	t	projects	id	f	c	crm_opportunities_project_id_fkey
crm_opportunities	user_id	f	users	id	f	n	crm_opportunities_user_id_fkey
crm_pipelines	project_id	t	projects	id	f	c	crm_pipelines_project_id_fkey
economics_ledger	project_id	t	projects	id	f	c	economics_ledger_project_id_fkey
expense_categories	project_id	t	projects	id	f	c	expense_categories_project_id_fkey
expense_templates	category_id	t	expense_categories	id	f	a	expense_templates_category_id_fkey
expense_templates	project_id	t	projects	id	f	c	expense_templates_project_id_fkey
expenses	category_id	t	expense_categories	id	f	a	expenses_category_id_fkey
expenses	project_id	t	projects	id	f	c	expenses_project_id_fkey
expenses	registered_by	f	users	id	f	a	expenses_registered_by_fkey
expenses	template_id	f	expense_templates	id	f	n	expenses_template_id_fkey
graph_messages	conversation_id	t	graph_conversations	id	f	c	graph_messages_conversation_id_fkey
installments	plan_id	t	payment_plans	plan_id	f	c	installments_plan_id_fkey
io_types	default_artifact_type_id	f	artifact_types	id	f	a	io_types_default_artifact_type_id_fkey
key_results	kpi_id	f	kpis	id	f	n	key_results_kpi_id_fkey
key_results	objective_id	t	objectives	id	f	c	key_results_objective_id_fkey
kpi_snapshots	kpi_id	t	kpis	id	f	c	kpi_snapshots_kpi_id_fkey
kpis	created_by	f	users	id	f	a	kpis_created_by_fkey
kpis	project_id	t	projects	id	f	c	kpis_project_id_fkey
meeting_participants	meeting_id	f	meetings	id	f	a	meeting_participants_meeting_id_fkey
meeting_participants	user_id	f	users	id	f	a	meeting_participants_user_id_fkey
meeting_reports	meeting_id	f	meetings	id	t	a	meeting_reports_meeting_id_fkey
meeting_transcripts	meeting_id	t	meetings	id	t	c	meeting_transcripts_meeting_id_fkey
meetings	project_id	f	projects	id	f	a	meetings_project_id_fkey
meetings	space_id	f	spaces	id	f	a	meetings_space_id_fkey
meta_capi_events	installment_id	t	installments	installment_id	t	c	meta_capi_events_installment_id_fkey
meta_capi_events	project_id	t	projects	id	f	c	meta_capi_events_project_id_fkey
notion_content_index	project_id	t	projects	id	f	c	notion_content_index_project_id_fkey
objectives	owner_id	f	users	id	f	a	objectives_owner_id_fkey
objectives	project_id	t	projects	id	f	c	objectives_project_id_fkey
okr_reviews	objective_id	t	objectives	id	f	c	okr_reviews_objective_id_fkey
output_channels	runner_id	t	runners	id	f	c	output_channels_runner_id_fkey
payment_plans	product_uuid	f	products	id	f	a	payment_plans_product_uuid_fkey
payment_plans	project_id	f	projects	id	f	n	payment_plans_project_id_fkey
payment_plans	user_id	f	users	id	f	a	payment_plans_user_id_fkey
payroll_actuals	overridden_by	f	users	id	f	a	payroll_actuals_overridden_by_fkey
payroll_actuals	payroll_rule_id	t	payroll_rules	id	f	a	payroll_actuals_payroll_rule_id_fkey
payroll_actuals	project_id	t	projects	id	f	c	payroll_actuals_project_id_fkey
payroll_actuals	user_id	t	users	id	f	a	payroll_actuals_user_id_fkey
payroll_rules	commission_rule_id	f	commission_rules	id	f	n	payroll_rules_commission_rule_id_fkey
payroll_rules	project_id	t	projects	id	f	c	payroll_rules_project_id_fkey
payroll_rules	role_id	t	team_roles	id	f	a	payroll_rules_role_id_fkey
payroll_rules	user_id	f	users	id	f	a	payroll_rules_user_id_fkey
products	default_commission_rule_id	f	commission_rules	id	f	n	fk_product_default_commission_rule
products	project_id	f	projects	id	f	n	products_project_id_fkey
project_ad_account_mappings	project_id	t	projects	id	f	c	project_ad_account_mappings_project_id_fkey
project_campaign_mappings	project_id	t	projects	id	f	c	project_campaign_mappings_project_id_fkey
project_crm_configs	project_id	t	projects	id	f	c	project_crm_configs_project_id_fkey
project_google_configs	project_id	t	projects	id	t	c	project_google_configs_project_id_fkey
project_meta_configs	project_id	t	projects	id	t	c	project_meta_configs_project_id_fkey
project_notion_configs	project_id	t	projects	id	t	c	project_notion_configs_project_id_fkey
project_panda_video_configs	project_id	t	projects	id	t	c	project_panda_video_configs_project_id_fkey
project_panda_video_selections	project_id	t	projects	id	f	c	project_panda_video_selections_project_id_fkey
project_teams	project_id	t	projects	id	f	c	project_teams_project_id_fkey
project_teams	team_id	t	teams	id	f	c	project_teams_team_id_fkey
project_vturb_video_configs	project_id	t	projects	id	t	c	project_vturb_video_configs_project_id_fkey
project_vturb_video_selections	project_id	t	projects	id	f	c	project_vturb_video_selections_project_id_fkey
project_whatsapp_configs	project_id	t	projects	id	t	c	project_whatsapp_configs_project_id_fkey
prompt_sections	llm_call_id	t	llm_calls	id	f	c	prompt_sections_llm_call_id_fkey
revenue_share_distributions	project_id	t	projects	id	f	a	revenue_share_distributions_project_id_fkey
revenue_share_distributions	triggered_by	t	users	id	f	a	revenue_share_distributions_triggered_by_fkey
revenue_share_payouts	distribution_id	t	revenue_share_distributions	id	f	c	revenue_share_payouts_distribution_id_fkey
revenue_share_payouts	project_id	t	projects	id	f	a	revenue_share_payouts_project_id_fkey
revenue_share_payouts	user_id	t	users	id	f	a	revenue_share_payouts_user_id_fkey
revenue_share_rules	project_id	t	projects	id	f	c	revenue_share_rules_project_id_fkey
revenue_share_rules	user_id	t	users	id	f	a	revenue_share_rules_user_id_fkey
runner_runs	runner_id	t	runners	id	f	c	runner_runs_runner_id_fkey
runner_runs	worker_run_id	f	worker_runs	id	f	n	runner_runs_worker_run_id_fkey
runners	project_id	f	projects	id	f	c	runners_project_id_fkey
runners	skill_id	t	skills	id	f	c	runners_skill_id_fkey
runners	worker_id	t	workers	id	f	c	runners_worker_id_fkey
skills	project_id	f	projects	id	f	c	skills_project_id_fkey
sops	macro_process_code	t	macro_processes	code	f	a	sops_macro_process_code_fkey
spaces	id_id	t	identities	id	f	a	spaces_id_id_fkey
spaces	user_id	f	users	id	f	a	spaces_user_id_fkey
sql_messages	conversation_id	t	sql_conversations	id	f	c	sql_messages_conversation_id_fkey
task_acceptance_criteria	output_id	t	task_outputs	id	f	c	task_acceptance_criteria_output_id_fkey
task_acceptance_criteria	template_id	f	verification_templates	id	f	a	task_acceptance_criteria_template_id_fkey
task_attestations	criterion_id	t	task_acceptance_criteria	id	f	c	task_attestations_criterion_id_fkey
task_attestations	responsible_team_member_id	f	team_members	id	f	a	task_attestations_responsible_team_member_id_fkey
task_comments	task_id	f	tasks	id	f	c	task_comments_task_id_fkey
task_comments	user_id	f	users	id	f	a	task_comments_user_id_fkey
task_inputs	artifact_type_id	f	artifact_types	id	f	a	task_inputs_artifact_type_id_fkey
task_inputs	io_type_id	f	io_types	id	f	a	task_inputs_io_type_id_fkey
task_inputs	satisfied_by	f	users	id	f	a	task_inputs_satisfied_by_fkey
task_inputs	task_id	t	tasks	id	f	c	task_inputs_task_id_fkey
task_outputs	artifact_type_id	f	artifact_types	id	f	a	task_outputs_artifact_type_id_fkey
task_outputs	delivered_by	f	users	id	f	a	task_outputs_delivered_by_fkey
task_outputs	io_type_id	f	io_types	id	f	a	task_outputs_io_type_id_fkey
task_outputs	task_id	t	tasks	id	f	c	task_outputs_task_id_fkey
task_todos	task_id	f	tasks	id	f	c	task_todos_task_id_fkey
tasks	archetype_id	f	activity_archetypes	id	f	a	tasks_archetype_id_fkey
tasks	column_id	f	task_columns	id	f	a	tasks_column_id_fkey
tasks	project_id	f	projects	id	f	a	tasks_project_id_fkey
tasks	source_meeting_id	f	meetings	id	f	a	tasks_source_meeting_id_fkey
tasks	user_id	f	users	id	f	a	tasks_user_id_fkey
team_member_roles	role_id	t	team_roles	id	f	c	team_member_roles_role_id_fkey
team_member_roles	team_member_id	t	team_members	id	f	c	team_member_roles_team_member_id_fkey
team_members	role_id	f	team_roles	id	f	a	team_members_role_id_fkey
team_members	team_id	f	teams	id	f	a	team_members_team_id_fkey
team_members	user_id	f	users	id	f	a	team_members_user_id_fkey
team_roles	team_id	f	teams	id	f	a	team_roles_team_id_fkey
user_evolution_instances	project_id	t	projects	id	f	c	user_evolution_instances_project_id_fkey
user_evolution_instances	user_id	t	users	id	f	c	user_evolution_instances_user_id_fkey
users	person_id	f	persons	person_id	f	a	users_person_id_fkey
whatsapp_messages	project_id	t	projects	id	f	c	whatsapp_messages_project_id_fkey
worker_runs	skill_id	t	skills	id	f	c	worker_runs_skill_id_fkey
worker_runs	worker_id	t	workers	id	f	c	worker_runs_worker_id_fkey
workers	skill_id	t	skills	id	f	c	workers_skill_id_fkey
